Kantor,Alamat,Longitude,Latitude 
Kantor Bupati Sukoharjo,"Jl. Jend. Sudirman No.199, Gabusan, Jombor, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57521",110.8358462,-7.6649285
Kantor Bupati Tegal,"Dukuhwringin, Slawi, Jomblang, Dukuhwringin, Kec. Slawi, Tegal, Jawa Tengah 52419",109.1281625,-6.9957597
Kantor Bupati Wonogiri,"Jl. Kab. No.4, Sabggrahan, Giripurwo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",110.9257975,-7.8154192
Kantor Bupati Wonosobo,"JL. Sindoro, No. 2-4, Wonosobo Timur, Wonosobo Tim., Kec. Wonosobo, Kabupaten Wonosobo, Jawa Tengah 56311",109.9051798,-7.3586157
Kantor Walikota Magelang ,"Jl. Jend. Sarwo Edhie Wibowo No.2, Tenjosari, Banyurojo, Kec. Mertoyudan, Magelang, Jawa Tengah 56172",110.2215934,-7.5038423
Kantor Walikota Pekalongan,"Jl. Mataram No.1, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111",109.6620809,-6.8971947
Kantor Walikota Salatiga,"Jl. Sukowati No.74, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724",110.5005215,-7.3312372
Kantor Walikota Semarang,"Sekayu, Central Semarang, Semarang City, Central Java 50132",110.412663,-6.9814811
Kantor Walikota Surakarta,"Jl. Jend. Sudirman No.2, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133",110.8295337,-7.569492
Kantor Walikota Tegal,"Jl. Ki.Gede Sebayu No.12, Pesurungan Lor, Kec. Margadana, Kota Tegal, Jawa Tengah 52147",109.1374483,-6.8706857
Kantor Bupati Temanggung,"Dongkelan Utara, Jampiroso, Temanggung, Temanggung Regency, Central Java 56212",110.1818819,-7.3155545
